n,Best Comparisons,Best Assignments,Worst Comparisons,Worst Assignments,Average Comparisons,Average Assignments
10,9,18,45,63,29,40
15,14,28,105,133,66,83
20,19,38,190,228,113,135
25,24,48,300,348,170,196
30,29,58,435,493,238,270
35,34,68,595,663,336,373
40,39,78,780,858,424,466
45,44,88,990,1078,535,582
50,49,98,1225,1323,637,690
55,54,108,1485,1593,788,845
60,59,118,1770,1888,958,1020
65,64,128,2080,2208,1057,1123
70,69,138,2415,2553,1244,1315
75,74,148,2775,2923,1485,1561
80,79,158,3160,3318,1660,1743
85,84,168,3570,3738,1896,1984
90,89,178,4005,4183,2050,2143
95,94,188,4465,4653,2452,2550
100,99,198,4950,5148,2483,2586
